,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
25,tt0047437,Sabrina,Sabrina,1954,1954-11-18,"Comedy, Drama, Romance",113,USA,"English, French",,"Billy Wilder, Samuel A. Taylor",Paramount Pictures,"Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, John Williams, Martha Hyer, Joan Vohs, Marcel Dalio, Marcel Hillaire, Nella Walker, Francis X. Bushman, Ellen Corby","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",7.7,57694,$ 2238813,,,72.0,191.0,92.0
26,tt0047528,La strada,La strada,1954,1954-12-30,Drama,108,Italy,Italian,Federico Fellini,"Federico Fellini, Tullio Pinelli",Ponti-De Laurentiis Cinematografica,"Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani, Marcella Rovere, Livia Venturini","A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",8.0,56965,,,$ 19793,,150.0,113.0
27,tt0048021,Rififi,Du rififi chez les hommes,1955,1957-03-02,"Crime, Drama, Thriller",118,France,"French, Italian, English",Jules Dassin,"Auguste Le Breton, Jules Dassin",Pathé Consortium Cinéma,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey, Pierre Grasset, Robert Hossein, Marcel Lupovici, Dominique Maurin, Magali Noël, Marie Sabouret, Claude Sylvain, Jules Dassin, Armandel, Alain Bouvette, Alice Garan","Four men plan a technically perfect crime, but the human element intervenes...",8.2,26468,,$ 517975,$ 521342,97.0,133.0,134.0
28,tt0050188,Mother India,Mother India,1957,1957-10-25,"Drama, Musical, Family",172,India,Hindi,Mehboob Khan,"Wajahat Mirza, S. Ali Raza",Mehboob Productions,"Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar, Kanhaiyalal Chaturvedi, Jilloo Maa, Kumkum, Chanchal, Sheela Naik, Mukri, Siddiqui, Ram Shastri, Fakir Mohammad, Geeta, Hameeda","In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code.",8.1,8348,,,,53.0,25.0,27.0
29,tt0051429,Bonjour tristesse,Bonjour tristesse,1958,1958-09-03,"Drama, Romance",94,"UK, USA",English,Otto Preminger,"Arthur Laurents, Françoise Sagan",Wheel Productions,"Deborah Kerr, David Niven, Jean Seberg, Mylène Demongeot, Geoffrey Horne, Juliette Gréco, Walter Chiari, Martita Hunt, Roland Culver, Jean Kent, David Oxley, Elga Andersen, Jeremy Burnham, Eveline Eyfel","Cecile, decadent young girl who lives with her rich playboy father Raymond. When Anne, Raymond's old love interest, comes to Raymond's villa, Cecile is afraid for her way of life.",6.9,4409,,,,,44.0,52.0
30,tt0051496,Cowboy,Cowboy,1958,1958-09-06,Western,92,USA,English,Delmer Daves,"Frank Harris, Edmund H. North",Columbia Pictures,"Glenn Ford, Jack Lemmon, Anna Kashfi, Brian Donlevy, Dick York, Víctor Manuel Mendoza, Richard Jaeckel, King Donovan, Vaughn Taylor, Donald Randolph, James Westerfield, Eugene Iglesias, Frank DeKova",An idealistic tenderfoot Chicago hotel clerk is taken on a cattle-drive to Mexico by famous trail boss Tom Reece but discovers that cowboy life isn't what he expected.,6.7,2594,,,,,46.0,21.0
31,tt0052234,St. Louis Blues,St. Louis Blues,1958,1958-04-07,"Biography, Drama, Music",105,USA,English,,"Ted Sherdeman, Robert Smith",Paramount Pictures,"Nat 'King' Cole, Eartha Kitt, Cab Calloway, Ella Fitzgerald, Mahalia Jackson, Ruby Dee, Juano Hernandez, Teddy Buckner, Barney Bigard, George 'Red' Callender, Lee Young, George Washington, Billy Preston, Pearl Bailey","Will Handy grows up in Memphis with his preacher father and his Aunt Hagar. His father intends for him to use his musical gifts only in church, but he can't stay away from the music of the ...",7.2,525,,,,,17.0,6.0
32,tt0052893,Hiroshima mon amour,Hiroshima mon amour,1959,1959-10-23,"Drama, Romance",90,"France, Japan","French, Japanese, English",Alain Resnais,"Marguerite Duras, Marguerite Duras",Argos Films,"Emmanuelle Riva, Eiji Okada, Stella Dassas, Pierre Barbaud, Bernard Fresson",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,7.9,27454,,$ 96439,$ 99632,,110.0,125.0
33,tt0053182,Porgy and Bess,Porgy and Bess,1959,1959-12-17,"Drama, Musical, Romance",138,USA,English,"Otto Preminger, Rouben Mamoulian","Dorothy Heyward, DuBose Heyward",The Samuel Goldwyn Company,"Sidney Poitier, Dorothy Dandridge, Sammy Davis Jr., Pearl Bailey, Brock Peters, Leslie Scott, Diahann Carroll, Ruth Attaway, Claude Akins, Clarence Muse, Everdinne Wilson, Joel Fluellen, Earl Jackson, Moses LaMarr, Margaret Hairston",A woman whose past is scorned by nearly everyone around her meets a man who'd love her regardlessly- if only everyone else would allow them to.,7.1,1485,$ 7000000,,,,64.0,10.0
34,tt0053619,L'avventura,L'avventura,1960,1960-09-29,"Drama, Mystery",144,"Italy, France","Italian, English, Greek",Michelangelo Antonioni,"Michelangelo Antonioni, Michelangelo Antonioni",Cino del Duca,"Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar, Renzo Ricci, James Addams, Dorothy De Poliolo, Lelio Luttazzi, Giovanni Petrucci, Esmeralda Ruspoli, Enrico Bologna, Franco Cimino, Giovanni Danesi, Rita Molè, Renato Pinciroli","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",7.9,25674,,,,,114.0,120.0
35,tt0053804,Exodus,Exodus,1960,1961-04-29,"Action, Drama, History",208,USA,English,,"Dalton Trumbo, Leon Uris",Otto Preminger Films,"Paul Newman, Eva Marie Saint, Ralph Richardson, Peter Lawford, Lee J. Cobb, Sal Mineo, John Derek, Hugh Griffith, Gregory Ratoff, Felix Aylmer, David Opatoshu, Jill Haworth, Marius Goring, Alexandra Stewart, Michael Wager","The state of Israel is created in 1948, resulting in war with its Arab neighbors.",6.7,8709,$ 4000000,,,,81.0,25.0
36,tt0055399,Salvatore Giuliano,Salvatore Giuliano,1962,1962-03-01,"Crime, Drama, History",123,Italy,Italian,Francesco Rosi,"Francesco Rosi, Suso Cecchi D'Amico",Galatea Film,"Salvo Randone, Frank Wolff","The unclear and complicated twists between governal powers, independentist party and Mafia in the Sicily of the '40s culminate with the death of Salvatore Giuliano.",7.4,2842,,,,,13.0,32.0
37,tt0055796,Billy Budd,Billy Budd,1962,1962-09-20,"Adventure, Drama, War",123,UK,English,Peter Ustinov,"Louis O. Coxe, Robert H. Chapman",Anglo Allied,"Robert Ryan, Peter Ustinov, Melvyn Douglas, Paul Rogers, John Neville, David McCallum, Ronald Lewis, Lee Montague, Thomas Heathcote, Ray McAnally, Robert Brown, John Meillon, Cyril Luckham, Niall MacGinnis, Victor Brooks","Billy Budd is an innocent, naive seaman in the British Navy in 1797. When the ship's sadistic master-at-arms is murdered, Billy is accused and tried.",7.8,3891,,,,,57.0,19.0
